symbol	ensembl_id	name
MT-TF	ENSG00000210049	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]
MT-RNR1	ENSG00000211459	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]
MT-TV	ENSG00000210077	mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]
MT-RNR2	ENSG00000210082	mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]
MT-TL1	ENSG00000209082	mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]
MT-ND1	ENSG00000198888	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
MT-TI	ENSG00000210100	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]
MT-TQ	ENSG00000210107	mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]
MT-TM	ENSG00000210112	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]
MT-ND2	ENSG00000198763	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
MT-TW	ENSG00000210117	mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]
MT-TA	ENSG00000210127	mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]
MT-TN	ENSG00000210135	mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]
MT-TC	ENSG00000210140	mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]
MT-TY	ENSG00000210144	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]
MT-CO1	ENSG00000198804	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
MT-TS1	ENSG00000210151	mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]
MT-TD	ENSG00000210154	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]
MT-CO2	ENSG00000198712	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
MT-TK	ENSG00000210156	mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]
MT-ATP8	ENSG00000228253	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
MT-ATP6	ENSG00000198899	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
MT-CO3	ENSG00000198938	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
MT-TG	ENSG00000210164	mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]
MT-ND3	ENSG00000198840	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
MT-TR	ENSG00000210174	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]
MT-ND4L	ENSG00000212907	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
MT-ND4	ENSG00000198886	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]
MT-TH	ENSG00000210176	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]
MT-TS2	ENSG00000210184	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]
MT-TL2	ENSG00000210191	mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]
MT-ND5	ENSG00000198786	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]
MT-ND6	ENSG00000198695	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
MT-TE	ENSG00000210194	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]
MT-CYB	ENSG00000198727	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]
MT-TT	ENSG00000210195	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]
MT-TP	ENSG00000210196	mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]
5S_rRNA	ENSG00000278457	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
U6	ENSG00000278625	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
5_8S_rRNA	ENSG00000278294	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]
RNA5-8SN5	ENSG00000274917	RNA, 5.8S ribosomal N5 [Source:HGNC Symbol;Acc:HGNC:53533]
Y_RNA	ENSG00000277428	Y RNA [Source:RFAM;Acc:RF00019]
U1	ENSG00000275987	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
MAFIP	ENSG00000274847	MAFF interacting protein [Source:HGNC Symbol;Acc:HGNC:31102]
U2	ENSG00000276711	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
RNA5-8SN4	ENSG00000276700	RNA, 5.8S ribosomal N4 [Source:HGNC Symbol;Acc:HGNC:53529]
RNU1-62P	ENSG00000281822	RNA, U1 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:HGNC:48404]
MTCO3P47	ENSG00000280505	MT-CO3 pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:56430]
RNA5SP136	ENSG00000280775	RNA, 5S ribosomal pseudogene 136 [Source:HGNC Symbol;Acc:HGNC:43036]
RYBP	ENSG00000281766	RING1 and YY1 binding protein [Source:HGNC Symbol;Acc:HGNC:10480]
GCGR	ENSG00000288269	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]
RPL23AP45	ENSG00000291360	ribosomal protein L23a pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:36896]
MCRIP1	ENSG00000288213	MAPK regulated corepressor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28007]
RNU6-409P	ENSG00000291372	RNA, U6 small nuclear 409, pseudogene [Source:HGNC Symbol;Acc:HGNC:47372]
ACR	ENSG00000291368	acrosin [Source:HGNC Symbol;Acc:HGNC:126]
C8orf33	ENSG00000291362	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]
SNRPA1P2	ENSG00000291370	SNRPA1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56983]
LINC01784	ENSG00000282162	long intergenic non-protein coding RNA 1784 [Source:HGNC Symbol;Acc:HGNC:52574]
SHANK3	ENSG00000292254	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]
PRAMEF11	ENSG00000281934	PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]
PRAMEF30P	ENSG00000282116	PRAME family member 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:51892]
HNRNPCL1	ENSG00000282175	heterogeneous nuclear ribonucleoprotein C like 1 [Source:HGNC Symbol;Acc:HGNC:29295]
PRAMEF2	ENSG00000282817	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]
PRAMEF4	ENSG00000282584	PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]
PRAMEF10	ENSG00000282663	PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]
PRAMEF7	ENSG00000279195	PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]
RNU6-1072P	ENSG00000282338	RNA, U6 small nuclear 1072, pseudogene [Source:HGNC Symbol;Acc:HGNC:48035]
PRAMEF29P	ENSG00000282549	PRAME family member 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:51891]
PRAMEF6	ENSG00000282119	PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]
PPP1R27	ENSG00000288186	protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]
PRAMEF28P	ENSG00000282791	PRAME family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:51890]
PRAMEF27	ENSG00000282437	PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]
HNRNPCL3	ENSG00000282559	heterogeneous nuclear ribonucleoprotein C like 3 [Source:HGNC Symbol;Acc:HGNC:51235]
PRAMEF25	ENSG00000282566	PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]
PRAMEF34P	ENSG00000282258	PRAME family member 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:51895]
PRAMEF35P	ENSG00000282562	PRAME family member 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:51896]
LINC02688	ENSG00000291364	long intergenic non-protein coding RNA 2688 [Source:HGNC Symbol;Acc:HGNC:54184]
HNRNPCL2	ENSG00000282530	heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813]
MUC5AC	ENSG00000291363	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]
PRAMEF36P	ENSG00000282468	PRAME family member 36, pseudogene [Source:HGNC Symbol;Acc:HGNC:51897]
MUC2	ENSG00000293532	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]
PRAMEF26	ENSG00000281987	PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178]
